time,signal
15690,2751.0
15700,2605.0
15710,2717.0
15720,2576.0
15730,2721.0
15740,2521.0
15750,2679.0
15760,2636.0
15770,2556.0
15780,2594.0
15790,2706.0
15800,2825.0
15810,2536.0
15820,2588.0
15830,2699.0
15840,2781.0
15850,2562.0
15860,2535.0
15870,2510.0
15880,2493.0
15890,2762.0
15900,2464.0
15910,2582.0
15920,2544.0
15930,2565.0
15940,2485.0
15950,2651.0
15960,2495.0
15970,2538.0
15980,2596.0
15990,2513.0
16000,2350.0
16010,2406.0
16020,2421.0
16030,2380.0
16040,2503.0
16050,2504.0
16060,2407.0
16070,2413.0
16080,2410.0
16090,2407.0
16100,2492.0
16110,2517.0
16120,2439.0
16130,2376.0
16140,2245.0
16150,2384.0
16160,2395.0
16170,2309.0
16180,2316.0
16190,2362.0
16200,2467.0
16210,2216.0
16220,2462.0
16230,2255.0
16240,2282.0
16250,2173.0
16260,2249.0
16270,2154.0
16280,2346.0
16290,2225.0
16300,2151.0
16310,2273.0
16320,2264.0
16330,2207.0
16340,2173.0
16350,2274.0
16360,2186.0
16370,2192.0
16380,2250.0
16390,2204.0
16400,2398.0
16410,2357.0
16420,2349.0
16430,2270.0
16440,2326.0
16450,2161.0
16460,2160.0
16470,2341.0
16480,2269.0
16490,2103.0
16500,2193.0
16510,2175.0
16520,2099.0
16530,2206.0
16540,2195.0
16550,1979.0
16560,2189.0
16570,2135.0
16580,2148.0
16590,2182.0
16600,2208.0
16610,2042.0
16620,2170.0
16630,2120.0
16640,2144.0
16650,2102.0
16660,2051.0
16670,2044.0
16680,2140.0
16690,2072.0
16700,2083.0
16710,2241.0
16720,2033.0
16730,2097.0
16740,1997.0
16750,1984.0
16760,2026.0
16770,1917.0
16780,2007.0
16790,2103.0
16800,1996.0
16810,2101.0
16820,2139.0
16830,1994.0
16840,2039.0
16850,1916.0
16860,1934.0
16870,2110.0
16880,2051.0
16890,2069.0
16900,1910.0
16910,2002.0
16920,1881.0
16930,1994.0
16940,1852.0
16950,1919.0
16960,1923.0
16970,1880.0
16980,1878.0
16990,1912.0
17000,1942.0
17010,2067.0
17020,1913.0
17030,1922.0
17040,1901.0
17050,1907.0
17060,1891.0
17070,1929.0
17080,1874.0
17090,1897.0
17100,1896.0
17110,1855.0
17120,1792.0
17130,1836.0
17140,1904.0
17150,1827.0
17160,1868.0
17170,1833.0
17180,1795.0
17190,1891.0
17200,1764.0
17210,1852.0
17220,1698.0
17230,1890.0
17240,1842.0
17250,1874.0
